Equipamentos,RAPTOR 3.0L V6 BiTurbo 26MY
,RANGER 26MY
Engine & Transmission,
Potência,397
Torque,583
Cilindrada,3
Tecnologia BiTurbo,X
Transmissão Automática,X
Quantidade de marchas,10
Peso em ordem de marchas,2540
Wheels,
Polegadas,17
Safety,
Airbag (cada),8
Trail Control,X
Controle de descida,X
High tech,
Câmera 360 graus,X
4X4,
Tração integral (AWD),X
Tração 4x4 (high/low),X
Suspensão Off road FOX Live Valve Eixo Frontal/Traseiro,X
Diferencial traseiro blocante,X
"Terrain Management System (i.e: Modes Auto,Sand,Snow,Mud,Rock)",X
Others,
Freios Brembo (Por Eixo),X
Protetor de cárter,X
